letter,count_all,count_uppercase,percentage
a,36,6,8.9%
b,3,0,0.7%
c,18,0,4.4%
d,18,1,4.4%
e,44,2,10.8%
f,9,2,2.2%
g,6,0,1.5%
h,8,1,2.0%
i,30,0,7.4%
j,0,0,0.0%
k,5,0,1.2%
l,21,1,5.2%
m,16,0,3.9%
n,26,2,6.4%
o,20,0,4.9%
p,18,5,4.4%
q,4,0,1.0%
r,23,1,5.7%
s,25,6,6.2%
t,34,0,8.4%
u,10,1,2.5%
v,4,0,1.0%
w,10,2,2.5%
x,2,0,0.5%
y,16,0,3.9%
z,0,0,0.0%
