letter,count_all,count_uppercase,percentage
a,18,3,7.6%
b,2,0,0.8%
c,10,0,4.2%
d,10,0,4.2%
e,25,1,10.5%
f,6,1,2.5%
g,6,0,2.5%
h,5,0,2.1%
i,19,0,8.0%
j,0,0,0.0%
k,2,0,0.8%
l,14,1,5.9%
m,8,0,3.4%
n,17,1,7.2%
o,13,0,5.5%
p,11,3,4.6%
q,2,0,0.8%
r,12,0,5.1%
s,15,4,6.3%
t,20,0,8.4%
u,4,0,1.7%
v,2,0,0.8%
w,6,1,2.5%
x,1,0,0.4%
y,9,0,3.8%
z,0,0,0.0%
